address,num_transactions,%total_transactions
0xc674c649d6c2d2f32d1bc3e0759601e908f187d2,4,0.05
0x7b0caac0c688a6eb1a62efd94c7883a66f4619ce,4,0.05
0x6e9a3f3f75e858f4963ef77406c13ca09f0a6ca6,4,0.05
0xee0b82478de476a7d2ad82f0977d8b5f272fb990,4,0.05
0xdd61892ab841dc1e0749011a8fd852ff360af3ad,4,0.05
0xe36fb426268bcd73fc6a7017079820e7a6d597cc,4,0.05
0xd911c34256255ea1df33e4ce2cd207a30f012465,4,0.05
0x569ef9553a1f48567eef76c0b1a989f0deee1860,4,0.05
0xb738ce8df54a6d1035d651d77816ae20afff3be6,3,0.04
0x187072abd3ac8ef1d28ebb873cbe8fc8a85dd611,3,0.04
0x2b113bf30482201f1ad76a821f7a3b238703423d,3,0.04
0xc3fd9c40521394c1dbcf57d6912babcf394f33c0,3,0.04
0x390a09267a9193c205aceff54b332e98bc86ec9f,3,0.04
0xd1f9e14a2e1ea414d3fa7967820adc6585b4f167,3,0.04
0x21df4ef552b39615c85c70cd6fa87580533ee199,3,0.04
0xab583eef2d3c9f76248d515220223aa662fccc29,3,0.04
0x5109ed456b83a0ae039b5c3b2e31876025a8efe8,3,0.04
0x8055e86453edf857fcd57d77ea40f077f4d0832d,3,0.04
0xf9b26398731b85665c9dcafbe860097adaf1239c,3,0.04
0x5bdece0b6281acf7e49e0d6a03f5d36290385112,3,0.04
0xf48ad408882aad5a605a04a9e3b69fb7a7ef7eaa,3,0.04
0x99fe1a841d59379acd34da92ad01cf4244e73475,3,0.04
0x0b73d7e187d7b286ae40d6b764fb724cc6d8e282,3,0.04
0xd9a2e6ab22893606250a930239c6dcd9f03ee697,3,0.04
0x091e3b88f487982641d11868b798fbc83a78dbfa,3,0.04
0xc8427c77c1f1206b540a68224c921d459435bb7f,3,0.04
0xcbd250edab83c2ce0e131de28b5c499022594c97,3,0.04
0xd1b8c856d3cd5a5236562abaaadd3401e652de31,3,0.04
0x70ee63bd6376bbe745c734b9029ee5fa92c8ebf0,3,0.04
0x7e909f6d503fcca5cf7dfb92e7610b1302f4331f,3,0.04
0xa0a1dba78537eb04394e9560d1c6d8ca5c374f8f,3,0.04
0xe98203fcb0d3b46182644aef81630fcc8c18a4b4,3,0.04
0xdaf780714ce4931f98129060445fc6eb4ab73bb1,3,0.04
0xd6617248a062ebe0cfa91e3fd26484e205c6a41b,3,0.04
0x46761f1d443531afc94080e9f93d7aad7c75ae87,3,0.04
0x880f38dbceff81ff6fe2e8f69a8d3e6fd602b809,3,0.04
0xbd6482e292f04b0cb491cbe269b1d350d07232c2,3,0.04
0xbd2165ef334c32cd9e4f0467f566fd9f68de3cab,3,0.04
0x3b7b37546a1eed0edcca4b8f8397ae19df6f7245,3,0.04
0x0aead505a80062406944ee39d245bf65f7ef6614,3,0.04
0xe8d0f6aa570ef7e9996f8c79580748af17531704,3,0.04
0x67f849a4ef04d73c7545b3aa86b36d8534ef1a7c,3,0.04
0xd04b4167f7f50346501ef1dca7353ac1e4a02afc,3,0.04
0x7198159a9254a44621489f5fc6cd26b8b288be8f,3,0.04
0xcd1f17a77ed253dd016d4220e84ebc921da6a17a,3,0.04
0x46bc1461e8b7b59459440369b5688035a6aa74d9,3,0.04
0x1609bc551b38eefe1738bce85ecd46797082709a,3,0.04
0x465ab372c76936c8be30037eecbdcf4135addc24,3,0.04
0xe324eb144d58faaa03fa029687ecfd85a4f307e5,3,0.04
0x85faf119c4b542be4732a34b68299c23e0b7c778,3,0.04
0x068dec86ed1d3d187a574538e7edaad5bf6d1893,3,0.04
0x603252600dbd3bea771d743a8106a4f6a3dc3676,3,0.04
0xea77b1365d466bd900e9c3201cb29fbba9c21020,3,0.04
0x25ed5dd3596268da08ddeff62e755faa0755818c,3,0.04
0x3ec44a823e07555b5f889d8d954eec736eb5865b,3,0.04
0x5ad36770ad72ad02f991718991febcaf75bd970e,3,0.04
0x8726c7ffae33a12dab1951197caf689956697c5d,3,0.04
0x0d3c3bebb19fe1156877c6838fd35bed161c9eae,3,0.04
0x10e0e68acd7292187cfdc3648302f896783a2c47,3,0.04
0x5d19f2e65856251bc33414bfa9181fed5af49659,3,0.04
0xbfef8340f8d609765fa2290191d38b79425392aa,3,0.04
0x169118f7012b8ff96e986e6ab4dbca90de96a99d,3,0.04
0xd9beb923b88548ce4e7141ba818eb7ae847ece10,3,0.04
0x25e3fa21865318ddebbf95a2de7b474dd601a178,3,0.04
0xde325a74c7dab861586a5a7a2432421a527f0851,3,0.04
0xf5208aa94c6a353bdedeb2d69fe3d5d27eabf03b,3,0.04
0x152989efe0302ab36bb8de2616a253642363f37e,3,0.04
0x33b3f07bce5831c608f358b77e491a93072879e1,3,0.04
0x3f6e0a6c507278feb67b6810a27cd6419a8ef38f,3,0.04
